"Name","Members","Comment"
"V","a e o u i y ɛ ɔ ə","voyelles"
"C","w c p b t d k g m n f v s z l j r ʀ δ ŋ ç θ x","consonnes"
"C_SANS_L","w c p b t d k g m n f v s z j r ʀ δ ŋ ç θ x","consonnes sauf l (premier membre des groupes consonne+sonante)"
"C_SANS_R","w c p b t d k g m n f v s z l j ʀ δ ŋ ç θ x","consonnes sauf r (amuïssement final)"
"C_SANS_BTD","w c p k g m n f v s z l j r ʀ δ ŋ ç θ x","consonnes sauf b, t, d (centrale de trois consonnes)"
"N","n m","nasales"
"LIQ","l r","liquides"
"SON","l r m n","sonantes"
"V_SANS_A","e o u ɛ ɔ","voyelles autres que a"
"V_ANT","e i ɛ","voyelles antérieures"
"C_VOISEE","b d g v m l n","consonnes voisées"
"VB","a e i o u","voyelles brèves du latin (placement de l'accent)"
"VL","aː eː iː oː uː","voyelles longues du latin (placement de l'accent)"
