"Target","Result","Left","Right","Condition","Regex","Explanation","Date","LangueDepart","LangueDestination"
"{i,e}","j","","V","","","unaccentuated and hiatus ĭ and ĕ>j","-100","latin phonétique","français"
"ŭ","w","","V","","","unaccentuated and hiatus ŭ>w","-100","latin phonétique","français"
"m","","V","#","syllables>1","","final m> zero except monosyllabic","-100","latin phonétique","français"
"h","","#","","","","intial h> zero","0","latin phonétique","français"
"oe","e","","","","","oe>e","0","latin phonétique","français"
"{b,w}","β","V̯?","ˈ?V","","","intervocalic b, w>β","0","latin phonétique","français"
"br","βr","V̯?","ˈ?V","","","intervocalic br>βr","0","latin phonétique","français"
"w","β","","","","","w>β","0","latin phonétique","français"
"n","","","{s,f}","","","disparition of n before s, f","0","latin phonétique","français"
"ae","ɛ","","","","","ae>ɛ","100","latin phonétique","français"
"e","ɛ","","!ː","","","ĕ>ɛ","100","latin phonétique","français"
"eː","e","","","","","eː>e","100","latin phonétique","français"
"o","ɔ","","!ː","","","o>ɔ","100","latin phonétique","français"
"oː","o","","","","","oː>o","100","latin phonétique","français"
"","ĭ","","#s{p,t,k,m,n}","","","prophetic vowel ĭ before s+occlusive","100","latin phonétique","français"
"k","k̬","","j","","","k+j > k̬","100","latin phonétique","français"
"tj","t̬","wcpbtdkgmnfvszljrʀδŋçθx","","","","t+j > t̬ after consonants","100","latin phonétique","français"
"tj","jt̬","aeouiyɛɔə","aeouiyɛɔə","","","intervocalic t+j >jt̬","100","latin phonétique","français"
"k̬","t̬","","","","","k̬ > t̬","110","latin phonétique","français"
"k̬","t̬","wcpbtdkgmnfvszljrʀδŋçθx","","","","k̬ > t̬ after consonants","110","latin phonétique","français"
"jt̬","jts̬","aeouiyɛɔə","aeouiyɛɔə","","","intervocalic jt̬ >jts̬","110","latin phonétique","français"
"t̬","ts̬","","","","","t̬ > ts̬","120","latin phonétique","français"
"t̬","ts̬","wcpbtdkgmnfvszljrʀδŋçθx","","","","t̬ > ts̬ after consonants","120","latin phonétique","français"
"nj","n̬","","","","","nj > n̬","150","latin phonétique","français"
"lj","l̬","","","","","l+j > l̬","150","latin phonétique","français"
"sj","js̬","!s","","","","one s + j > js̬","150","latin phonétique","français"
"ssj","js̬s̬","","","","","ss + j > js̬s̬","150","latin phonétique","français"
"ŭ","","k","l{ŭ,u,ː}#","","","ending in -kŭlu > -klu","190","latin phonétique","français"
"V","","LIQ","C V#","","","l,r + unaccentuated penultieme vowel > zero","190","latin phonétique","français"
"V","","C","LIQ V#","","","unaccentuated penultieme vowel + l,r> zero","190","latin phonétique","français"
"V","","{n,s}","{t,d}V#","","","n,s + unaccentuated penultieme vowel + t,d > zero","190","latin phonétique","français"
"V","","{n,s}","{t,d}V#","","","n,s + unaccentuated penultieme vowel + t,d > zero","190","latin phonétique","français"
"n","nd","","r","","","n+r > ndr","195","latin phonétique","français"
"i","e","","!ː","","","i>e","200","latin phonétique","français"
"iː","i","","","","","iː>i","200","latin phonétique","français"
"aː","a","","","","","aː>a","200","latin phonétique","français"
"ˈɛ","ˈiɛ","","{C?̬?r?V,#}","","","accentuated ɛ open syllable>ˈiɛ","200","latin phonétique","français"
"V_SANS_A","ə","C+ˈV C+V C+","C?#","","","final vowel other than a >ə in proparoxyton","200","latin phonétique","français"
"V_SANS_A","ə","{b,p}j","C?#","","","final vowel other than a >ə after b, p+j","200","latin phonétique","français"
"V_SANS_A","ə","{b,p}j","C?#","","","final vowel other than a >ə after b, p+j","200","latin phonétique","français"
"V_SANS_A","ə","jr","C?#","","","final vowel other than a >ə after jr","200","latin phonétique","français"
"β","v","{a,i,e,ɛ}̯?","ˈ?V","","","intervocalic β>v","200","latin phonétique","français"
"β","","{u,o,ɔ}̯?","ˈ?V","","","intervocalic β>zero","200","latin phonétique","français"
"βr","vr","V̯?","ˈ?V","","","intervocalic βr>vr","200","latin phonétique","français"
"β","v","","","","","β>v","200","latin phonétique","français"
"l","ɫ","","C_SANS_L","","","l>ɫ  before consonant","200","latin phonétique","français"
"k","k̬","C?","ˈ?V_ANT","","","k+e,i>k̬ initial or after consonant","200","latin phonétique","français"
"k","k̬","aeouiyɛɔə","ˈ?V_ANT","","","intervocalic k+e,i >k̬","200","latin phonétique","français"
"g","g̬","C?","ˈ?V_ANT","","","g+e,i>g̬ initial or after consonant","200","latin phonétique","français"
"j","d̬","#","","","","initial j > d̬","200","latin phonétique","français"
"dy","d̬","C?","","","","initial or after consonant dy > d̬","200","latin phonétique","français"
"ŋn","n̬n̬","","","","","ŋn > n̬n̬","200","latin phonétique","français"
"ndj","n̬d̬","","","","","ndj > n̬d̬","200","latin phonétique","français"
"k̬","t̬","C?","ˈ?V_ANT","","","k̬+e,i > t̬ initial or after consonant","210","latin phonétique","français"
"k̬","jt̬","aeouiyɛɔə","ˈ?V_ANT","","","intervocalic k̬+e,i >jt̬","210","latin phonétique","français"
"g̬","d̬","C?","ˈ?V_ANT","","","g̬+e,i > d̬ initial or after consonant","210","latin phonétique","français"
"d̬","dʒ̬","#","","","","initial d̬ > dʒ̬","210","latin phonétique","français"
"d̬","dʒ̬","C?","","","","initial or after consonant d̬ > dʒ̬","210","latin phonétique","français"
