"Pattern","Replacement","Explanation","Date"
"*p","π (p)","grec ancien","-inf"
"*p","p","latin","-inf"
"*p","p","osque","-inf"
"*p","","gallois, amuïssement","-inf"
"*p","","gaulois, amuïssement","-inf"
"*p","","vieil irlandais, amuïssement","-inf"
"*p","f","gotique","-inf"
"*p","b","gotique, après voyelle atone","-inf"
"*p","f","norrois","-inf"
"*p","v","norrois, après voyelle atone","-inf"
"*p","f","vieux haut allemand","-inf"
"*p","b","vieux haut allemand, après voyelle atone","-inf"
"*p","f","anglo-saxon","-inf"
"*p","v","anglo-saxon, après voyelle atone","-inf"
"*p","p","albanais","-inf"
"*p","h-","arménien classique","-inf"
"*p","-w-","arménien classique","-inf"
"*p","","arménien classique, amuïssement, avant o","-inf"
"*p","p","lituanien","-inf"
"*p","p","letton","-inf"
"*p","p","vieux-slave","-inf"
"*p","p...f","avestique","-inf"
"*p","p","sanskrit","-inf"
"*p","p","tokharien","-inf"
"*p","-w-","tokharien","-inf"
"*p","p/b","hittite","-inf"
"*b","β (b)","grec ancien","-inf"
"*b","b","latin","-inf"
"*b","b","osque","-inf"
"*b","b","gallois","-inf"
"*b","-f-","gallois","-inf"
"*b","Ø/f","gallois, avant sonante","-inf"
"*b","b","gaulois","-inf"
"*b","b/p","gaulois, après r, l","-inf"
"*b","b/m","gaulois, avant sonante","-inf"
"*b","b","vieil irlandais","-inf"
"*b","Ø/b/m","vieil irlandais, avant sonante","-inf"
"*b","p","gotique","-inf"
"*b","p","norrois","-inf"
"*b","ph","vieux haut allemand","-inf"
"*b","pf","vieux haut allemand","-inf"
"*b","f","vieux haut allemand","-inf"
"*b","p","anglo-saxon","-inf"
"*b","b","albanais","-inf"
"*b","p","arménien classique","-inf"
"*b","b","lituanien","-inf"
"*b","b","letton","-inf"
"*b","b","vieux-slave","-inf"
"*b","b","avestique","-inf"
"*b","-w-","avestique","-inf"
"*b","b","sanskrit","-inf"
"*b","p","tokharien","-inf"
"*b","-w-","tokharien","-inf"
"*b","p/b","hittite","-inf"
"*bʰ","φ (ph)","grec ancien","-inf"
"*bʰ","f-","latin","-inf"
"*bʰ","-b-","latin","-inf"
"*bʰ","f","osque","-inf"
"*bʰ","b","gallois","-inf"
"*bʰ","-f-","gallois","-inf"
"*bʰ","Ø/f","gallois, avant sonante","-inf"
"*bʰ","b","gaulois","-inf"
"*bʰ","b/p","gaulois, après r, l","-inf"
