"Target","Result","Left","Right","Condition","Regex","Explanation","Date","LangueDepart","LangueDestination"
"ā","aː","","","","","ā se réalise aː","-inf","latin","latin phonétique"
"ō","oː","","","","","ō se réalise oː","-inf","latin","latin phonétique"
"ē","eː","","","","","ē se réalise eː","-inf","latin","latin phonétique"
"ī","iː","","","","","ī se réalise iː","-inf","latin","latin phonétique"
"ū","uː","","","","","ū se réalise uː","-inf","latin","latin phonétique"
"ă","a","","","","","ă se réalise a","-inf","latin","latin phonétique"
"ŏ","o","","","","","ŏ se réalise o","-inf","latin","latin phonétique"
"ĕ","e","","","","","ĕ se réalise e","-inf","latin","latin phonétique"
"ĭ","i","","","","","ĭ se réalise i","-inf","latin","latin phonétique"
"ŭ","u","","","","","ŭ se réalise u","-inf","latin","latin phonétique"
"x","ks","","","","","x se réalise ks","-inf","latin","latin phonétique"
"gn","ŋn","","","","","gn se réalise ŋn","-inf","latin","latin phonétique"
"py","pç","","","","","py se réalise pç","-inf","latin","latin phonétique"
"c","k","","","","","c se réalise k","-inf","latin","latin phonétique"
"v","w","","","","","v se réalise w","-inf","latin","latin phonétique"
"qu","kʷ","","","","","qu se réalise kʷ","-inf","latin","latin phonétique"
"gu","gʷ","","","","","gu se réalise gʷ","-inf","latin","latin phonétique"
"","ˈ","","VL C?C?r?V C?#","","","accent sur l'avant-dernière syllabe quand sa voyelle est longue","-inf","latin","latin phonétique"
"","ˈ","","{au,{a,e,i,o}ː?}C?C?r?VB!ː C?C?r?V C?#","","","accent sur l'antépénultième quand l'avant-dernière voyelle est brève","-inf","latin","latin phonétique"
"","ˈ","!a","uː?C?C?r?VB!ː C?C?r?V C?#","","","idem pour u, sauf s'il forme la diphtongue au (qui porte l'accent sur son a)","-inf","latin","latin phonétique"
"","ˈ","#Cl?r?","VB!ː C?C?l?r?V ː?C?#","","","accent sur la première syllabe d'un dissyllabe","-inf","latin","latin phonétique"
