"Pattern","Replacement","Explanation","Date"
"ā","aː","Latin phonetic ā is aː","-inf"
"ō","oː","Latin phonetic ō is oː","-inf"
"ē","eː","Latin phonetic ē is eː","-inf"
"ī","iː","Latin phonetic ī is iː","-inf"
"ū","uː","Latin phonetic ū is uː","-inf"
"ă","a","Latin phonetic ă is a","-inf"
"ŏ","o","Latin phonetic ŏ is o","-inf"
"ĕ","e","Latin phonetic ĕ is e","-inf"
"ĭ","i","Latin phonetic ĭ is i","-inf"
"ŭ","u","Latin phonetic ŭ is u","-inf"
"x","ks","Latin phonetic x>ks","-inf"
"gn","ŋn","Latin phonetic gn>ŋn","-inf"
"py","pç","Latin phonetic py>pç","-inf"
"c","k","Latin phonetic c>k","-inf"
"v","w","Latin phonetic v>w","-inf"
"qu","kʷ","Latin phonetic qu>kʷ","-inf"
"gu","gʷ","Latin phonetic gu>gʷ","-inf"
"([aeiou]ː)(?=[wcpbtdkgmnfvszljrʀδŋçθx]{0,2}r?[aeouiyɛɔə][wcpbtdkgmnfvszljrʀδŋçθx]?$)","ˈ\1","Accent on antepenultiem when long vowel","-inf"
"(au|[aeiou]ː?)(?=[wcpbtdkgmnfvszljrʀδŋçθx]{0,2}r?[aeiou](?!ː)[wcpbtdkgmnfvszljrʀδŋçθx]{0,2}r?[aeouiyɛɔə][wcpbtdkgmnfvszljrʀδŋçθx]?$)","ˈ\1","Accent on anteantepenultiem when short vowel on antepenultiem","-inf"
"(^[wcpbtdkgmnfvszljrʀδŋçθx]l?r?)([aeiou](?!ː))(?=[wcpbtdkgmnfvszljrʀδŋçθx]{0,2}l?r?[aeouiyɛɔə]ː?[wcpbtdkgmnfvszljrʀδŋçθx]?$)","\1ˈ\2","Accent on antepenultiem when two syllables","-inf"
"[ie](?=[aeouiyɛɔə])","j","unaccentuated and hiatus ĭ and ĕ>j","-100"
"ŭ(?=[aeouiyɛɔə])","w","unaccentuated and hiatus ŭ>w","-100"
"(.*[aeouiyɛɔə].*[aeouiyɛɔə])m$","\1","final m> zero except monosyllabic","-100"
"^h","","intial h> zero","0"
"oe","e","oe>e","0"
"([aeouiyɛɔə]̯?)[bw](?=ˈ?[aeouiyɛɔə])","\1β","intervocalic b, w>β","0"
"([aeouiyɛɔə]̯?)br(?=ˈ?[aeouiyɛɔə])","\1βr","intervocalic br>βr","0"
"w","β","w>β","0"
"n(?=sf])","","disparition of n before s, f","0"
"ae","ɛ","ae>ɛ","100"
"e(?!ː)","ɛ","ĕ>ɛ","100"
"eː","e","eː>e","100"
"o(?!ː)","ɔ","o>ɔ","100"
"oː","o","oː>o","100"
"(?=^s[ptkmn])","ĭ","prophetic vowel ĭ before s+occlusive","100"
"k(?=j)","k̬","k+j > k̬","100"
"(wcpbtdkgmnfvszljrʀδŋçθx)tj","\1t̬","t+j > t̬ after consonants","100"
"(aeouiyɛɔə)tj(?=aeouiyɛɔə)","\1jt̬","intervocalic t+j >jt̬","100"
"k̬","t̬","k̬ > t̬","110"
"(wcpbtdkgmnfvszljrʀδŋçθx)k̬","\1t̬","k̬ > t̬ after consonants","110"
"(aeouiyɛɔə)jt̬(?=aeouiyɛɔə)","\1jts̬","intervocalic jt̬ >jts̬","110"
"t̬","ts̬","t̬ > ts̬","120"
"(wcpbtdkgmnfvszljrʀδŋçθx)t̬","\1ts̬","t̬ > ts̬ after consonants","120"
"nj","n̬","nj > n̬","150"
"lj","l̬","l+j > l̬","150"
"(?<!s)sj","js̬","one s + j > js̬","150"
"ssj","js̬s̬","ss + j > js̬s̬","150"
"(?<=k)ŭ(?=l[ŭuː]$)","","ending in -kŭlu > -klu","190"
"(?<=[lr])[aeouiyɛɔə](?=[wcpbtdkgmnfvszljrʀδŋçθx][aeouiyɛɔə]$)","","l,r + unaccentuated penultieme vowel > zero","190"
"(?<=[wcpbtdkgmnfvszljrʀδŋçθx])[aeouiyɛɔə](?=[lr][aeouiyɛɔə]$)","","unaccentuated penultieme vowel + l,r> zero","190"
"(?<=[ns])[aeouiyɛɔə](?=[td][aeouiyɛɔə]$)","","n,s + unaccentuated penultieme vowel + t,d > zero","190"
"(?<=[ns])[aeouiyɛɔə](?=[td][aeouiyɛɔə]$)","","n,s + unaccentuated penultieme vowel + t,d > zero","190"
"n(?=r)","nd","n+r > ndr","195"
"i(?!ː)","e","i>e","200"
"iː","i","iː>i","200"
"aː","a","aː>a","200"
"ˈɛ(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈiɛ","accentuated ɛ open syllable>ˈiɛ","200"
"([wcpbtdkgmnfvszljrʀδŋçθx]+ˈ[aeouiyɛɔə][wcpbtdkgmnfvszljrʀδŋçθx]+[aeouiyɛɔə][wcpbtdkgmnfvszljrʀδŋçθx]+)[eouɛɔ](?=[wcpbtdkgmnfvszljrʀδŋçθx]?$)","\1ə","final vowel other than a >ə in proparoxyton","200"
"([bp]j)[eouɛɔ](?=[wcpbtdkgmnfvszljrʀδŋçθx]?$)","\1ə","final vowel other than a >ə after b, p+j","200"
"([bp]j)[eouɛɔ](?=[wcpbtdkgmnfvszljrʀδŋçθx]?$)","\1ə","final vowel other than a >ə after b, p+j","200"
"(jr)[eouɛɔ](?=[wcpbtdkgmnfvszljrʀδŋçθx]?$)","\1ə","final vowel other than a >ə after jr","200"
"([aieɛ]̯?)β(?=ˈ?[aeouiyɛɔə])","\1v","intervocalic β>v","200"
"([uoɔ]̯?)β(?=ˈ?[aeouiyɛɔə])","\1","intervocalic β>zero","200"
"([aeouiyɛɔə]̯?)βr(?=ˈ?[aeouiyɛɔə])","\1vr","intervocalic βr>vr","200"
"β","v","β>v","200"
"l(?=[wcpbtdkgmnfvszjrʀδŋçθx])","ɫ","l>ɫ  before consonant","200"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)k(?=ˈ?[eiɛ])","\1k̬","k+e,i>k̬ initial or after consonant","200"
"(aeouiyɛɔə)k(?=ˈ?[eiɛ])","\1k̬","intervocalic k+e,i >k̬","200"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)g(?=ˈ?[eiɛ])","\1g̬","g+e,i>g̬ initial or after consonant","200"
"^j","d̬","initial j > d̬","200"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)dy","\1d̬","initial or after consonant dy > d̬","200"
"ŋn","n̬n̬","ŋn > n̬n̬","200"
"ndj","n̬d̬","ndj > n̬d̬","200"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)k̬(?=ˈ?[eiɛ])","\1t̬","k̬+e,i > t̬ initial or after consonant","210"
"(aeouiyɛɔə)k̬(?=ˈ?[eiɛ])","\1jt̬","intervocalic k̬+e,i >jt̬","210"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)g̬(?=ˈ?[eiɛ])","\1d̬","g̬+e,i > d̬ initial or after consonant","210"
"^d̬","dʒ̬","initial d̬ > dʒ̬","210"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)d̬","\1dʒ̬","initial or after consonant d̬ > dʒ̬","210"
"n̬d̬","n̬n̬","n̬d̬ > n̬n̬","210"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)t̬(?=ˈ?[eiɛ])","\1ts̬","t̬+e,i > ts̬ initial or after consonant","220"
"(aeouiyɛɔə)jt̬(?=ˈ?[eiɛ])","\1jts̬","intervocalic jt̬+e,i >jts̬","220"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)d̬(?=ˈ?[eiɛ])","\1dʒ̬","d̬+e,i > dʒ̬ initial or after consonant","220"
