"Pattern","Replacement","Explanation","Date"
"ā","aː","Latin phonetic ā is aː","-inf"
"ō","oː","Latin phonetic ō is oː","-inf"
"ē","eː","Latin phonetic ē is eː","-inf"
"ī","iː","Latin phonetic ī is iː","-inf"
"ū","uː","Latin phonetic ū is uː","-inf"
"ă","a","Latin phonetic ă is a","-inf"
"ŏ","o","Latin phonetic ŏ is o","-inf"
"ĕ","e","Latin phonetic ĕ is e","-inf"
"ĭ","i","Latin phonetic ĭ is i","-inf"
"ŭ","u","Latin phonetic ŭ is u","-inf"
"x","ks","Latin phonetic x>ks","-inf"
"gn","ŋn","Latin phonetic gn>ŋn","-inf"
"py","pç","Latin phonetic py>pç","-inf"
"c","k","Latin phonetic c>k","-inf"
"v","w","Latin phonetic v>w","-inf"
"qu","kʷ","Latin phonetic qu>kʷ","-inf"
"gu","gʷ","Latin phonetic gu>gʷ","-inf"
"([aeiou]ː)(?=[wcpbtdkgmnfvszljrʀδŋçθx]{0,2}r?[aeouiyɛɔə][wcpbtdkgmnfvszljrʀδŋçθx]?$)","ˈ\1","Accent on antepenultiem when long vowel","-inf"
"(au|[aeiou]ː?)(?=[wcpbtdkgmnfvszljrʀδŋçθx]{0,2}r?[aeiou](?!ː)[wcpbtdkgmnfvszljrʀδŋçθx]{0,2}r?[aeouiyɛɔə][wcpbtdkgmnfvszljrʀδŋçθx]?$)","ˈ\1","Accent on anteantepenultiem when short vowel on antepenultiem","-inf"
"(^[wcpbtdkgmnfvszljrʀδŋçθx]l?r?)([aeiou](?!ː))(?=[wcpbtdkgmnfvszljrʀδŋçθx]{0,2}l?r?[aeouiyɛɔə]ː?[wcpbtdkgmnfvszljrʀδŋçθx]?$)","\1ˈ\2","Accent on antepenultiem when two syllables","-inf"
